Lot Number,Region,In-Country Partner
CQU2022015,"Piendamo,Cauca",Japan Coffee Exchange
"The 2022 Pacific Rim Coffee Summit,T037",Chiayi,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
"The 2022 Pacific Rim Coffee Summit,LA01",Laos Borofen Plateau,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
CQU2022017,"Los Santos,Tarrazu",Japan Coffee Exchange
CQU2023002,"Popayan,Cauca",Japan Coffee Exchange
"The 2022 Pacific Rim Coffee Summit,GT02",Chimaltenango,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
"The 2022 Pacific Rim Coffee Summit,T034",Chiayi,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
"The 2022 Pacific Rim Coffee Summit,T050",Chiayi,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
"The 2022 Pacific Rim Coffee Summit,T018",Chiayi,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
CN 4127230034/4189230113,KILIMANJARO,Kenya Coffee Traders Association
010/0296/600,Guji,Japan Coffee Exchange
"The 2022 Pacific Rim Coffee Summit,GT12",Acatenango,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
"The 2022 Pacific Rim Coffee Summit,T051",Yunlin,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
"Grade 1, Guji, Natural, Gelana Geisha",Guji,METAD Agricultural Development plc
"The 2022 Pacific Rim Coffee Summit,CO03",tolima,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
"The 2022 Pacific Rim Coffee Summit,T014",Chiayi,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
CQU2023006,"Gedeb,Yirgacheffe,Sidamo",Japan Coffee Exchange
202203,"Shibi, Gukeng Township, Yunlin County zip code, Taiwan (R.O.C.)",Blossom Valley International Chenyi International
202112,"GUkeng township, Y UNlin county",Blossom Valley International Chenyi International
CN 4127230032/P-9140,Arusha,Kenya Coffee Traders Association
"The 2022 Pacific Rim Coffee Summit,GT03","Guatemala, Fraijanes, Santa Rosa",Taiwan Coffee Laboratory Taiwan Coffee Laboratory
2022/03,Zhuoxi Township Zhuoxi Township,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
1,Chiang Mai,FABB Academy of Coffee
CQU2023005,Quindio,Japan Coffee Exchange
"The 2022 Pacific Rim Coffee Summit, T003",Yunlin,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
Arara 1,Região Vulcânica,Brazil Specialty Coffee Association
"The 2022 Pacific Rim Coffee Summit,T024",Chiayi,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
"The 2022 Pacific Rim Coffee Summit,T048",Yunlin,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
"The 2022 Pacific Rim Coffee Summit,T045",Chiayi,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
"The 2022 Pacific Rim Coffee Summit,US01",Kona,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
2022/3/1(Lao Cong),Shoufeng Township Shoufeng Township,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
2022/02,Shoufeng Township Shoufeng Township,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
2022 Tainan City Specialty Coffee Evaluation Batch,"Dongshan Dist., Tainan City",Taiwan Coffee Laboratory Taiwan Coffee Laboratory
Washed Limmu,Oromia,METAD Agricultural Development plc
65,Southern Ethiopia Guji,METAD Agricultural Development plc
1,OROMIA,METAD Agricultural Development plc
"The 2022 Pacific Rim Coffee Summit, T004",Chiayi,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
2022 Tainan City Specialty Coffee Evaluation Batch,"Dongshan Dist., Tainan City",Taiwan Coffee Laboratory Taiwan Coffee Laboratory
5516,Central,Kenya Coffee Traders Association
202203,"C Aoling, GU Keng township, Y UN Lin county",Blossom Valley International Chenyi International
2022/01,Show Linxia Township,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
"Dewen Section, Sandimen Township, Pingtung County","Pingtung, Taiwan",Taiwan Coffee Laboratory Taiwan Coffee Laboratory
A26-Northern Taiwan Specialty Coffee Evaluation,Miaoli County,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
7938,Rwenzori,Uganda Coffee Development Authority
2021/01,Shoufeng Township Shoufeng Township,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
"The 2022 Pacific Rim Coffee Summit,T011",Yunlin,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
11/15/118,Antigua,National Coffee Association
11/951/279,Santa Rosa,National Coffee Association
11/441/50,Quiche,National Coffee Association
A03-Northern Taiwan Specialty Coffee Evaluation,Hsinchu County,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
A23-Northern Taiwan Specialty Coffee Evaluation,Hsinchu County,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
016/1513/262,Aceh Tengah,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG)
"The 2022 Pacific Rim Coffee Summit,PE02",Villa Rica,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
S59588/P03989,Mbeya,Kenya Coffee Traders Association
"The 2022 Pacific Rim Coffee Summit,T029",Chiayi,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
"The 2022 Pacific Rim Coffee Summit,T039",NaN header,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
FBT111,Campo das Vertentes,Japan Coffee Exchange
2-237-05,Boquete,Specialty Coffee Association of Costa Rica
"Majiajia, Pingtung County","Pingtung, Taiwan",Taiwan Coffee Laboratory Taiwan Coffee Laboratory
11/15/117,Huehuetenango,National Coffee Association
11/54876/03,ANTIGUA GUATEMALA,National Coffee Association
12075,Tarrazu,Specialty Coffee Association of Costa Rica
A11-Northern Taiwan Specialty Coffee Evaluation,Hsinchu County,Taiwan Coffee Laboratory Taiwan Coffee Laboratory
